nama,harga,penjual,kota,terjual,rating
SEBLAK CAMPUR 500gram SEBLAK MIX [SEBLAK BETON - SEBLAK JENGKOL ASBES - SEBLAK SISIR - SEBLAK KERUPUK RAFAEL] PEDAS RENYAH JAGO NGEMIL,Rp13.450,Jago Ngemil,Kab.Ciamis,5rb+ terjual,4.8
Seblak Instan Paket 12 Bungkus Termurah Pedas Food,Rp48.000,boci bogor,Bogor,3 terjual,5.0
Paket Ekonomis Seblak Instans 11bungkus BINJAI ACEH MEDAN LANGKAT,Rp48.000,cemilinhan_NEW,Binjai,100+ terjual,4.6
11 BUNGKUS SEBLAK PAKET RESELLER,Rp55.000,Pusat cuanki JKT,Tangerang,100+ terjual,4.7
SMR Paket Puas SEBLAK MAMANG RAFAEL (Beli 3 + Free 2 ) Bundling 5,Rp100.000,Seblak mamang rafael_NEW,Kab. Garut,500+ terjual,4.9
"Seblak mix/seblak campur viral tiktok pedas daun jeruk/ seblak mix original daun jeruk kemasan 1kg. Cemilan pedas, Snack ringa. Snacks Kering. Kerupuk",Rp5.500,Tukangseblak.id,Kab. Bandung,,
Paket Seblak Coet Pedas isi  5 pack,Rp4.000.000,seblaklekoh.tehsiska,Kab. Bandung Barat,,
Beli 1 Dapat 2 Seblak Mix Ori dan Pedas Seblak Campur Mix Pedas Original  Bumbu Melimpah Daun Jeruk Food Snack,Rp10.000,warung .cemilan08,Kab. Bandung,1rb+ terjual,4.2
seblak murah meriah rasanya enak,Rp2.500,Iwanceleng,Kab. Bekasi,40+ terjual,
Seblak Instan Khas bandung Food Makanan Pedas,Rp5.000,JajananShopBDG,Kab. Bandung,7rb+ terjual,4.5
BUNDLING BERDUA Dapat 2 Seblak Kemasan - Paket 1 Kering Aja Bumbu Original dan 1 Seblak Keringan Aja Bumbu Jadul Seblak Katel Mami,Rp70.000,Seblak Katel Mami,Bogor,13 terjual,5.0
